A1, A4, A5, A6, A7, A9, A10, A12, A13, Class
b,u,g,w,v,t,t,f,g,POS
a,u,g,q,h,t,t,f,g,POS
a,u,g,q,h,t,f,f,g,POS
b,u,g,w,v,t,t,t,g,POS
b,u,g,w,v,t,f,f,s,POS
b,u,g,m,v,t,f,t,g,POS
b,u,g,r,h,t,f,t,g,POS
a,u,g,cc,v,t,f,f,g,POS
b,y,p,k,h,t,f,f,g,POS
b,y,p,w,v,t,f,t,g,POS
b,u,g,c,h,f,f,t,g,POS
b,u,g,c,h,t,f,f,g,POS
a,u,g,k,v,t,f,t,g,POS
b,u,g,k,v,f,f,f,g,POS
a,u,g,q,v,t,t,t,g,POS
b,y,p,k,v,t,t,t,g,POS
b,u,g,m,v,t,t,t,g,POS
a,u,g,q,v,t,t,f,g,POS
b,u,g,d,h,t,f,t,g,POS
a,u,g,cc,h,t,t,f,g,POS
b,u,g,c,v,t,t,f,g,POS
b,u,g,c,v,t,f,f,s,POS
a,u,g,c,v,t,t,t,g,POS
a,u,g,x,h,t,t,f,g,POS
a,u,g,q,v,t,t,t,g,POS
a,u,g,c,h,t,t,f,g,POS
a,u,g,i,bb,t,t,t,g,POS
b,u,g,d,bb,t,t,t,g,POS
b,u,g,e,h,t,t,f,g,POS
b,u,g,w,v,t,t,t,g,POS
b,u,g,aa,v,t,t,t,g,POS
b,u,g,x,h,t,t,f,g,POS
b,u,g,i,bb,t,t,t,g,POS
a,u,g,e,v,t,f,t,g,POS
a,u,g,q,v,t,t,t,g,POS
b,u,g,w,v,t,t,t,g,POS
b,u,g,cc,h,t,t,t,g,POS
a,u,g,x,h,t,t,t,g,POS
b,y,p,cc,v,t,t,f,g,POS
b,u,g,ff,ff,t,t,t,g,POS
b,u,g,c,v,t,t,t,g,POS
b,u,g,c,h,t,t,f,g,POS
b,u,g,w,h,t,t,f,g,POS
b,u,g,w,v,t,t,t,g,POS
b,y,p,c,v,t,t,f,g,POS
b,u,g,c,h,t,t,t,g,POS
a,y,p,q,h,t,t,t,g,POS
b,u,g,cc,h,t,t,f,g,POS
b,u,g,i,bb,f,f,f,g,POS
b,u,g,c,v,f,f,f,g,POS
a,u,g,c,h,t,f,t,g,POS
b,u,g,q,v,t,f,t,g,POS
b,u,g,w,v,t,f,t,g,POS
b,u,g,w,v,t,f,t,g,POS
b,u,g,cc,h,t,f,t,g,POS
b,y,p,w,v,t,f,t,g,POS
b,u,g,cc,v,t,f,f,g,POS
b,u,g,i,h,t,f,t,g,POS
b,u,g,x,h,f,f,t,s,POS
b,u,g,q,h,t,t,f,g,POS
b,u,g,m,v,t,t,t,g,POS
b,u,g,d,v,t,t,f,g,POS
a,y,p,q,v,t,t,t,g,POS
a,u,g,q,v,t,t,f,g,POS
b,u,g,cc,v,t,t,t,g,POS
b,u,g,cc,v,t,t,t,g,POS
a,u,g,c,v,t,t,f,g,POS
b,u,g,m,v,t,t,f,g,POS
b,u,g,w,h,t,t,f,g,POS
b,u,g,x,h,t,t,t,g,POS
b,u,g,e,bb,t,f,t,s,NEG
b,u,g,d,bb,t,f,t,g,NEG
a,u,g,cc,v,t,f,t,g,NEG
b,u,g,m,v,t,f,f,s,NEG
b,y,p,c,v,f,f,f,g,NEG
b,u,g,q,v,t,t,f,g,NEG
b,u,g,aa,v,t,f,t,g,NEG
a,y,p,aa,v,t,f,t,g,NEG
b,y,p,k,v,t,t,f,g,NEG
b,u,g,c,v,t,f,f,g,NEG
b,u,g,ff,ff,t,t,f,g,NEG
a,u,g,m,v,t,f,f,s,NEG
b,u,g,m,v,t,f,f,s,NEG
a,u,g,d,v,t,f,t,g,NEG
b,u,g,aa,v,t,f,t,g,NEG
b,u,g,c,bb,t,f,t,s,NEG
b,u,g,d,v,t,f,t,s,NEG
b,y,p,aa,v,t,f,f,g,NEG
b,u,g,aa,v,t,f,t,g,NEG
a,u,g,j,j,t,f,t,g,NEG
b,y,p,c,h,t,f,f,g,NEG
b,u,g,c,v,t,f,f,g,NEG
b,y,p,aa,v,t,f,f,g,NEG
b,y,p,c,h,t,f,t,g,NEG
b,y,p,c,v,t,f,t,g,NEG
a,u,g,i,bb,t,f,t,g,NEG
b,y,p,aa,v,t,f,f,g,NEG
b,u,g,c,bb,t,f,t,s,NEG
a,y,p,q,v,t,f,t,g,NEG
a,u,g,q,v,t,t,t,g,NEG
b,y,p,c,bb,t,f,t,g,NEG
b,y,p,c,v,t,f,f,g,NEG
b,u,g,q,v,t,t,f,g,NEG
b,u,g,k,v,t,t,t,g,NEG
b,y,p,i,h,t,t,t,g,NEG
b,u,g,e,z,t,t,f,g,NEG
b,u,g,k,v,t,f,f,s,NEG
a,y,p,aa,v,t,f,f,g,NEG
b,y,p,x,h,t,f,t,g,NEG
a,u,g,c,v,t,t,t,g,NEG
b,u,g,w,v,t,t,t,g,NEG
a,y,p,ff,ff,t,t,f,g,NEG
b,u,g,w,v,t,f,t,g,NEG
a,u,g,k,bb,t,t,t,g,NEG
b,y,p,c,h,t,t,t,g,NEG
a,u,g,q,v,t,t,f,g,NEG
b,u,g,q,h,t,t,t,g,NEG
b,u,g,k,v,t,t,f,g,POS
b,u,g,m,v,t,t,t,g,POS
a,u,g,cc,h,t,t,t,g,POS
b,u,g,q,v,t,t,f,g,POS
b,u,g,cc,v,t,t,t,g,POS
a,u,g,aa,v,t,t,t,g,POS
a,u,g,q,v,t,t,t,g,POS
a,u,g,q,v,t,t,t,g,POS
b,u,g,x,h,t,t,t,g,POS
b,u,g,m,bb,t,t,t,g,POS
b,u,g,q,v,t,t,t,g,POS
b,u,g,i,bb,t,t,f,g,POS
a,u,g,w,v,t,f,f,s,POS
b,u,g,e,z,t,t,t,g,POS
b,u,g,c,v,t,t,f,g,POS
a,u,g,e,bb,t,t,f,g,POS
b,u,g,c,bb,t,t,f,g,POS
b,u,g,q,h,t,t,t,g,POS
b,u,g,q,h,t,f,t,g,POS
b,y,p,aa,v,t,t,f,g,POS
b,u,g,m,v,t,t,f,g,POS
a,u,g,w,v,t,t,t,g,POS
a,u,g,q,h,t,t,f,g,POS
a,u,g,cc,h,t,t,t,g,POS
a,u,g,j,ff,t,t,f,g,POS
b,y,p,cc,h,t,t,f,g,POS
b,u,g,w,v,t,t,f,g,POS
b,u,g,cc,h,t,t,f,g,POS
b,u,g,cc,h,t,t,f,g,POS
b,u,g,q,v,t,t,t,g,POS
a,y,p,q,h,t,t,f,g,POS
a,u,g,c,bb,t,t,t,g,POS
